X,Y,fid,interferen,idinventar,idinvent_1,distrito,idinvent_2,fechaplant,alturaprim,alturatota,anchoacera,diametroco,distanciae,distanciaf,edadrelati,elemprotec,espaciodis,estadogene,estructura,fasesdesat,tipoformat,inclinacio,cartodb_id,marcoplant,nivelinter,orografiat,perimetrot,porcentpen,singularid,tipologiaa,tipologiac,tipoaguati,tipodanoti,tipointerf,tiporiegot,tipotutort,vitalidadt,esperanzas,riegotipoe,codigoespe,d_especie_,borrado,ninterno,id_inventa,icon_url
-3.73533842917451,40.4140418988592,"904",no,"2172890","513261","9",ARB_03-09_0000041682,,,0,,0,MEDIANA,,D,,,,ESTRUCTURADO,,,,"206917",,,,0,,,,ALCORQUE,,,,,,,,,,,"0","41682","2172890",./0.png
-3.72533211327178,40.4768959448946,"22839",no,"1605801","463129","8",ARB_03-08_0000050602,,,2.5,1,0.5,MUY_PEQUENA,GRANDE,J,,,MUERTO,ESTRUCTURADO,,,,"20700",,,,12,,,,ALCORQUE,POTABLE,,,,,,0-5,OTROS,,,"0","50602","1605801",./0.png
-3.67755941333976,40.5074885544574,"23757",no,"1607506","470319","8",ARB_03-08_0000057792,2015/02/12,1.3,5.5,6,1.5,MUY_GRANDE,GRANDE,D,,,MORIBUNDO,,,,,"21626",,,,18,,,,MASA_ARBUSTIVA,POTABLE,,,PROGRAMABLE,TUTOR_MADERA,,,GOTEO,,,"0","57792","1607506",./0.png
-3.67584168561791,40.4583988434402,"28691",no,"1621525","398917","5",ARB_02-05_0000016509,,2.4,9,3,6,MUY_GRANDE,PEQUENA,M,,,ALGO_ENFERMO,ESTRUCTURADO,,,"0","26605",,,,100,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","16509","1621525",./0.png
-3.67601812181114,40.4584101555063,"28863",no,"1622309","397940","5",ARB_02-05_0000015533,,2.6,9,3,7,MUY_GRANDE,PEQUENA,M,,,ALGO_ENFERMO,ESTRUCTURADO,,,"0","26780",,,,110,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","15533","1622309",./0.png
-3.67596855375807,40.4584069315085,"29671",no,"1624483","397941","5",ARB_02-05_0000015534,,2.6,8,3,7,MUY_GRANDE,PEQUENA,M,,,ALGO_ENFERMO,ESTRUCTURADO,,,"0","27600",,,,78,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","15534","1624483",./0.png
-3.67608423927463,40.4587114814717,"34458",no,"1646602","405227","5",ARB_02-05_0000022950,,2.2,5,8,8,MUY_GRANDE,GRANDE,M,,,SANO,ESTRUCTURADO,,,"0","32400",,,,72,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","22950","1646602",./0.png
-3.67590636545247,40.4584036008763,"34468",no,"1646612","405371","5",ARB_02-05_0000023094,,2.5,8,3,7,MUY_GRANDE,PEQUENA,M,,,SANO,ESTRUCTURADO,,,"0","32410",,,,79,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","23094","1646612",./0.png
-3.67260309502719,40.4580534657086,"36109",no,"1654770","405869","5",ARB_02-05_0000023592,,2,7.5,10,7,PEQUENA,GRANDE,M,,,ALGO_ENFERMO,ESTRUCTURADO,,,"0","34049",,,,70,,,,ALCORQUE,POTABLE,,,,,,,OTROS,,,"0","23592","1654770",./0.png
-3.66639345104237,40.4291265902846,"66203",no,"1721737","345404","4",ARB_02-04_0000012528,,3,12,5,5.5,GRANDE,MEDIANA,M,,,SANO,ESTRUCTURADO,,,,"64422",,,,45,,,,ALCORQUE,REGENERADA,,,,,,,OTROS,,,"0","12528","1721737",./0.png
